imdbID,Genre,Title,Year,image_path
tt0095953,Drama,Rain Man,16 Dec 1988,../dataset/images/tt0095953.jpg
tt0096438,"Animation, Comedy, Crime",Who Framed Roger Rabbit,22 Jun 1988,../dataset/images/tt0096438.jpg
tt0094898,"Comedy, Romance",Coming to America,29 Jun 1988,../dataset/images/tt0094898.jpg
tt0094737,"Comedy, Drama, Fantasy",Big,03 Jun 1988,../dataset/images/tt0094737.jpg
tt0096320,Comedy,Twins,09 Dec 1988,../dataset/images/tt0096320.jpg
tt0092493,"Action, Adventure, Comedy",Crocodile Dundee II,25 May 1988,../dataset/images/tt0092493.jpg
tt0095016,"Action, Thriller",Die Hard,20 Jul 1988,../dataset/images/tt0095016.jpg
tt0095705,"Comedy, Crime",The Naked Gun: From the Files of Police Squad!,02 Dec 1988,../dataset/images/tt0095705.jpg
tt0094889,"Comedy, Drama, Romance",Cocktail,29 Jul 1988,../dataset/images/tt0094889.jpg
tt0094721,"Comedy, Fantasy",Beetlejuice,30 Mar 1988,../dataset/images/tt0094721.jpg
tt0096463,"Comedy, Drama, Romance",Working Girl,21 Dec 1988,../dataset/images/tt0096463.jpg
tt0095159,"Comedy, Crime",A Fish Called Wanda,05 Aug 1988,../dataset/images/tt0095159.jpg
tt0096061,"Comedy, Drama, Fantasy",Scrooged,23 Nov 1988,../dataset/images/tt0096061.jpg
tt0096446,"Action, Adventure, Drama",Willow,20 May 1988,../dataset/images/tt0096446.jpg
tt0094715,"Comedy, Drama, Music",Beaches,13 Jan 1989,../dataset/images/tt0094715.jpg
tt0095956,"Action, Adventure, Thriller",Rambo III,25 May 1988,../dataset/images/tt0095956.jpg
tt0095776,"Animation, Adventure, Family",Oliver & Company,18 Nov 1988,../dataset/images/tt0095776.jpg
tt0094812,"Comedy, Romance, Sport",Bull Durham,15 Jun 1988,../dataset/images/tt0094812.jpg
tt0095742,"Horror, Thriller",A Nightmare on Elm Street 4: The Dream Master,19 Aug 1988,../dataset/images/tt0095742.jpg
tt0095489,"Animation, Adventure, Family",The Land Before Time,18 Nov 1988,../dataset/images/tt0095489.jpg
tt0094894,"Action, Crime, Drama",Colors,29 Apr 1988,../dataset/images/tt0094894.jpg
tt0096487,"Action, Crime, Drama",Young Guns,12 Aug 1988,../dataset/images/tt0096487.jpg
tt0094746,"Comedy, Drama",Biloxi Blues,25 Mar 1988,../dataset/images/tt0094746.jpg
tt0095031,"Comedy, Crime",Dirty Rotten Scoundrels,14 Dec 1988,../dataset/images/tt0095031.jpg
tt0095253,Comedy,The Great Outdoors,17 Jun 1988,../dataset/images/tt0095253.jpg
tt0096244,"Crime, Drama, Romance",Tequila Sunrise,02 Dec 1988,../dataset/images/tt0096244.jpg
tt0094739,Comedy,Big Business,10 Jun 1988,../dataset/images/tt0094739.jpg
tt0095631,"Action, Comedy, Crime",Midnight Run,20 Jul 1988,../dataset/images/tt0095631.jpg
tt0094963,"Action, Crime, Mystery",The Dead Pool,13 Jul 1988,../dataset/images/tt0094963.jpg
tt0095963,"Action, Comedy, Crime",Red Heat,17 Jun 1988,../dataset/images/tt0095963.jpg
